,4/5/2020 08:27,ผมว่าไอ้พวกชายรัร่วมเพศในสังคมไทยและที่แฝงตัวอยู่ในรัฐบาลสืบทอดอำนาจรัฐประหาร คงจะคิดใช้สถานการณ์ช่วงโรคระบาดนี้เปลี่ยนแปลงสังคมอย่างที่ใจต้องการ ตัวเองวิปริตแต่จะเปลี่ยนผู้อื่นให้เป็นแบบใจที่วิปริตของตัวเองเดี่ยวก็โดนประชาชนเขากระทบเอาก็อยากโดนตีนเขาอ่ะดิ
,4/5/2020 08:26,@tigertop01 คือ...แม่เขาไม่ได้มีหน้าที่ดูแลประชาชนเหมือนรัฐบาลไง  ควายเหมือนรัฐบาลนี้จริงๆ
,4/5/2020 08:26,พิมพ์ไม่ครบปะคะ รัฐบาลผลงานดี....ดีเเต่ปาก 
,4/5/2020 08:26,มีญาติคนนึงโพสด่ารัฐบาล ล้ะอากูบอกว่า ทำไปได้ไง ทำทำไม เงิน5000เค้าจะให้ไม่ให้ก็เป็นเรื่องของเค้า....กูนี่แบบบบ โว้ยยยยยย เลิกเป็นสลิ่มไม่ได้หรอวะ
,4/5/2020 08:26,@BettySodick รัฐบาลนี้ขนาดไม่ใช้กระสุน ยังฆ่าประชาชน​ได้เลยครับ
,4/5/2020 08:25,@Ply79001923 ด่ารัฐบาลทะไม!?!
,4/5/2020 08:24,มีแต่ข่าวฆ่าตัวตายทุกวันเลย หดหู่จัง รัฐบาลไม่รู้สึกอะไรบ้างเหรอ??
,4/5/2020 08:24,@Covid19Thailand @earthh123 รัฐบาลชุดนี้ชอบแบ่งแยกและเหยียดคน ภูมิใจมากสินะกับเลขศูนย์
,4/5/2020 08:24,อีแอคด่ารัฐบาลที่อยู่ดีไม่ว่าดี สาระแนมาแซะลูกกูนี่กูไม่ให้ค่านะคะ มิ้วทิ้ง บล็อกทิ้งไปแล้ว อีควายยยยย อีง่าว
,4/5/2020 08:24,"@Artartart112 @pookem ธนาทุยบอกแจก 3000 แจกจริง 300
รัฐบาลแจก 5000 ก็ได้ 5000 แม้ทยอยวันละแสนคนล้านคน

ไปศึกษาข้อมูลมาใหม่ อย่าโชว์โง่"
,4/5/2020 08:23,@Covid19Thailand ปล่อยโปสเตอร์แบบนี้ ผ่านการคัดกรองมาแล้วใช่ป่าว @prayutofficial รัฐบาลทำงานยังไงอ่าปล่อยอะไรแบบนี้มาได้ สมองล้านปีอะเนาะ อิส้นตีน 
,4/5/2020 08:23,@notstoptoeat ไอ้ที่สมควรทำและ focus ก็ไม่ทำ มาทำอะไรที่ไม่เข้าท่าไ่ม่ใช่ประเด็น ก็สมควรแล้วหละที่โดนด่าตลอด นายก&amp;รัฐบาลที่มาจาก สว (สวะ) ที่ไม่ทำห่าอะไรเลย แต่รับเงินเดือนเต็ม คนหาเช้ากินค่ำขยันทำแทบตายในแต่ละวัน ไม่มีตังเก็บ ดันหาว่าเค้าขี้เกียจไม่รู้จักวางแผนเก็บออม. ถุยๆๆ
,4/5/2020 08:23,รัฐบาลอีควาย
,4/5/2020 08:23,"""ความเดือดร้อนของประชาชนไม่มีวันหยุดครับ"" 

กลุ่มคนการเมืองระดมทุนเพื่อแจกเงิน

เพจ อีจัน และเพจต่างๆ ส่งนม ผ้าอ้อม

ดารา นักร้องระดมทุนกับแฟนคลับหาทุนไปช่วย รพ.

บ.เอกชน ตั้งจุดแจกอาหารแห้ง แจกเงิน อาหาร

รัฐบาล  แจกเงินเยียวยา..ถึงไหนละ
วันหยุด ระบบ AI​ ก้อหยุดด้วยใช่มั้ยครับ"
,4/5/2020 08:23,"อะไรคือรัฐบาล [b]""ผลงานดี""[/b] นะคะ "
,4/5/2020 08:22,@sorkorlao อห. ตอนรัฐบาลขอบริจาคไม่เห็นพูดซักคำ
,4/5/2020 08:22,คนในรัฐบาลคือไม่มีใครห้ามใคร ขยันทำนิวโลว์
,4/5/2020 08:22,@MorningNewsTV3 รัฐบาลผลงานดี!!!??? 🤔🤔🤔
,4/5/2020 08:22,#พรรคก้าวไกล แจกเงิน 3000 เยียวยาประชาชน สลิ่มบอกไม่โปร่งใส แต่เสือกเชื่อความโปร่งใสของรัฐบาลที่กู้เงินมาทำเหี้ยอะไรก็ไม่รู้เยอะแยะ บอกว่ากู้มาดูแลประชาชนแต่ประชาชนก็ยังเดือดร้อนเหมือนเดิม #เราไม่ทิ้งกัน
